"id_survey","date_of_survey","ticket_system","overall_rating","customer_service","features","value_for_money","ease_of_use","likelihood_to_recommend","overall_text"
"T_02161",2024-11-20,"Zendesk",,,,,,,
"T_00229",2024-10-06,"Zendesk",3,4,3,3,2,6,"Customer tickets managements"
"T_04527",2024-12-26,"Zoho Desk",5,5,5,5,5,8,"After 6 months of using the Zoho desk, we shifted to different software, but my experience using Zoho was great! Indeed, I would still recommend using Zoho after all."
"T_03190",2024-12-08,"Zoho Desk",,,,,,,
"T_00644",2024-10-17,"Zendesk",5,3,4,5,5,6,"Pros:Zendesk has always been one of the go-to solutions for helpdesk software, but they've really streamlined their system over the last few years. It's simple and easy to use with straightforward options for even those who are new to using a helpdesk system.Zendesk is basically an email support system, where all emails sent will be routed to your Zendesk dashboard and show up as support tickets. Tickets are tagged with its own ID and even cross-referenced to see if a particular sender has submitted any tickets prior, so it's easy to check through the support history. There are also pre-defined responses, allowing for quick and easy replies for typical queries.Of course, these are actually what you might believe every helpdesk system should provide, but you'll be surprised at how much you have to pay and that some don't even have these options at all. Zendesk is actually very affordable and is easily scalable."
"T_02868",2024-12-03,"Zendesk",,,,,,,
"T_04682",2024-12-28,"Zoho Desk",5,4,5,5,5,8,"It has been very useful so far to integrate multiple brands but still allowing us to use the same customer service team."
"T_03968",2024-12-18,"Freshdesk",,,,,,,
"T_01238",2024-11-02,"Freshdesk",4,4,4,5,4,8,"Pros:It's easy to use and very intuitive.We have had very few issues with the functionality and requires minimal training for both customers and agents."
"T_00355",2024-10-09,"Zendesk",5,4,4,4,4,7,"Pros:We have connected Zendesk with a lot of our other applications."
"T_03971",2024-12-18,"Zendesk",,,,,,,
"T_02446",2024-11-26,"Jira Service Management",,,,,,,
"T_02440",2024-11-26,"Zendesk",4,2,3,5,5,6,"Its best, but need extra improvement from UI Side"
"T_03837",2024-12-16,"Freshdesk",,,,,,,
"T_02273",2024-11-23,"Zoho Desk",,,,,,,
"T_03213",2024-12-08,"Zendesk",5,3,3,3,5,5,"Served us incredibly well for years, the macros and auto-responders cut down a lot of work for our CS team. It allowed us to add a cost-effective,personalised voice mail, call recording and a comprehensive help desk to support our customers."
"T_02569",2024-11-29,"Freshdesk",5,3,5,5,5,10,"I have had a fantastic experience with both the software and customer service. Bang for buck is right on. Great UI/UX all around and make sure we are able to receive feedback through various channels and integrate with Jira."
"T_02303",2024-11-23,"Zendesk",,,,,,,
"T_04184",2024-12-21,"Zoho Desk",,,,,,,
"T_03530",2024-12-12,"Freshdesk",5,5,5,5,5,8,"Freshdesk has enabled us to manage customer tickets in a distinctive way, and this has helped us improve the speed of response and also to not leave any outstanding tickets within the records, in addition to that it helped a lot by improving quality control tools as well as measuring customer satisfaction."
"T_00454",2024-10-12,"Zoho Desk",,,,,,,
"T_01241",2024-11-02,"Zendesk",,,,,,,
"T_04121",2024-12-20,"Zendesk",4,2,3,3,4,6,"Knowledgebase, tickets, satisfied users."
"T_03348",2024-12-10,"Zoho Desk",5,5,5,5,5,8,"Zoho is 9 and plus rated in comparison to other platforms in the market and it's the best value on investment."
"T_03584",2024-12-12,"otrs",5,2,5,5,5,9,"Pros:very easy to use and fast interface that helps to manage our business"
"T_04803",2024-12-29,"ServiceNow",4,3,4,4,4,8,"The interface is simple, intuitive, and manageable. It is an excellent product for organizing and handling requests and cases."
"T_02713",2024-12-01,"Jira Service Management",4,4,4,5,4,9,"Customization, integrations, workflows, SLAs"
"T_03701",2024-12-14,"Zendesk",5,3,4,4,4,9,"We've been using Zendesk for years, it has made email communication/ task management extremely easy and intuitive. All of out team love it"
"T_01410",2024-11-06,"Freshdesk",,,,,,,
"T_00263",2024-10-07,"Freshdesk",,,,,,,
"T_04100",2024-12-20,"Zoho Desk",4,1,3,3,3,3,"Perfect, alot of feature are with benefit and incentives"
"T_02861",2024-12-03,"Zendesk",,,,,,,
"T_04568",2024-12-26,"Zendesk",,,,,,,
"T_03843",2024-12-16,"Freshdesk",,,,,,,
"T_00164",2024-10-05,"Zoho Desk",4,2,5,5,5,9,"Overall experience with Zoho Desk that they will be there for you support 24/7"
"T_03835",2024-12-16,"Freshdesk",5,5,5,5,5,9,"We went from a very clunky process to using Freshdesk, which revolutionised our response time to customers."
"T_00457",2024-10-12,"Zoho Desk",,,,,,,
"T_04234",2024-12-21,"Jira Service Management",,,,,,,
"T_04406",2024-12-24,"Freshdesk",,,,,,,
"T_03680",2024-12-14,"Freshdesk",5,2,3,5,5,9,"Overall FreshDesk is great for our needs. We are a smaller company so menuevering the tickets isn't overwhelming and the website provides helpful tools that save tons of time."
"T_00748",2024-10-20,"Zoho Desk",5,4,5,5,5,10,"Pros:I really like how this is easy to easy and connect to our leads in real-time."
"T_01676",2024-11-11,"Freshdesk",,,,,,,
"T_04256",2024-12-22,"Zoho Desk",3,2,3,3,3,4,"Pros:1. You can review the KB's while working on a ticket.2. Integration with Zoho CRM3. Agent collision detection is done in good way."
"T_00565",2024-10-15,"Freshdesk",5,4,5,5,5,9,"My overall experience was fresh desk has been pretty great I went from making $70,000 a year to $120,000 a year just the first year I had fresh desk. Fresh this year help me straighten up my business and keep everything organized I wouldn't want to have a business now without first disc I've brought my friends to fresh desk I know there's three of my friends that run their business that has bought fresh disc so try."
"T_03788",2024-12-15,"Zendesk",,,,,,,
"T_02317",2024-11-24,"Zoho Desk",,,,,,,
"T_02290",2024-11-23,"Zendesk",,,,,,,
"T_03676",2024-12-14,"Freshdesk",,,,,,,
"T_04268",2024-12-22,"Freshdesk",4,4,4,5,5,7,"If I am impressed with the non-customized option then I am sure I would be very happy with the customized one too. Only that I need to get it sooner for better handling and data extraction."
"T_00526",2024-10-14,"Zoho Desk",,,,,,,
"T_04871",2024-12-30,"Zendesk",3,3,4,4,4,6,"Overall it worked great while we were growing before we switched. They integrate with a lot of partners."
"T_02254",2024-11-22,"ServiceNow",4,3,3,3,4,4,"It's great overall. We are a company of 125k + employees and it's a handy tool to have."
"T_01998",2024-11-17,"Zendesk",,,,,,,
"T_01640",2024-11-10,"Zendesk",5,4,5,5,5,10,"Pros:We use this software for technical support questions, chat and overall support to our customers. It is very convenient, I even use the app."
"T_03468",2024-12-11,"Zendesk",5,5,5,5,5,9,"It's pleasant as long as you've been using it for a while since you will get around it."
"T_04346",2024-12-23,"Freshdesk",,,,,,,
"T_00580",2024-10-15,"Zendesk",,,,,,,
"T_03353",2024-12-10,"Zoho Desk",5,5,5,5,5,8,"Pros:Clean design with lots of options. The price cannot be beat the the customer service is fantastic. Also the ease of having it integrate into our website is perfect."
"T_00003",2024-10-01,"Zoho Desk",,,,,,,
"T_00878",2024-10-23,"Zendesk",,,,,,,
"T_00525",2024-10-14,"Zoho Desk",5,4,5,5,5,6,"customer service"
"T_00861",2024-10-23,"Zoho Desk",4,4,4,4,4,9,"Pros:This app is super easy to use. You can use it for customer management. This app is helpful if you are running a small business and wants to track online orders. Customer support is incredible good"
"T_04760",2024-12-29,"Zoho Desk",4,3,4,5,4,7,"Keeping track of support issues and making sure they are resolved in an acceptable time frame"
"T_04857",2024-12-30,"Freshdesk",,,,,,,
"T_04421",2024-12-24,"Zendesk",5,5,5,5,5,8,"This app has helped the company to be more efficient in the way we provide customer service, from creating manuals to providing real-time support."
"T_02748",2024-12-02,"Freshdesk",,,,,,,
"T_03657",2024-12-14,"Zoho Desk",,,,,,,
"T_02513",2024-11-28,"Freshdesk",,,,,,,
"T_01287",2024-11-03,"Zendesk",4,3,3,4,4,7,"It makes handling customer queries and complains so much easier. And you can have ne agents up and running with it in no time"
"T_03695",2024-12-14,"Freshdesk",,,,,,,
"T_01646",2024-11-10,"ServiceNow",5,3,5,4,4,7,"Overall its a great tool to have experience with when working as SME or platform engineer as its the widely and extensively used tool for tracking purposes."
"T_03082",2024-12-06,"Zendesk",,,,,,,
"T_00079",2024-10-02,"Jira Service Management",5,2,4,4,4,8,"After talking about positive and negative points, I must admit that my experience with this tool was good, since it helped us a lot to manage and work faster and more efficiently in my technical support work. Obvious with slight inconveniences from time to time, but in the end an excellent job was done with this one."
"T_00089",2024-10-03,"Zoho Desk",4,3,5,5,5,7,"Pros:too many useful tool and easy to use friendly interface"
"T_00605",2024-10-16,"Zendesk",5,4,5,4,5,7,"I was introduced to Zendesk an one of my jobs and it was stesful having to rename basic things and fuctions the zendesk way. It was powerful and colorful though."
"T_04381",2024-12-24,"Zoho Desk",4,1,4,5,4,8,"We are able to track our customer issues and can manage everything in one place. It also connects to our CRM which makes all the conversations visible for all users."
"T_01576",2024-11-09,"Freshdesk",,,,,,,
"T_00275",2024-10-07,"Jira Service Management",,,,,,,
"T_01869",2024-11-15,"Zoho Desk",,,,,,,
"T_03341",2024-12-10,"Zoho Desk",5,2,5,5,4,10,"systematic management of customer tickets as well as internal tasks."
"T_00034",2024-10-01,"Jira Service Management",,,,,,,
"T_01251",2024-11-02,"Zendesk",4,2,4,4,4,8,"Pros:The ease of use between multiple agents makes client communication much easier. Sharing tickets far better than email!"
"T_00231",2024-10-06,"Zendesk",5,4,5,5,5,9,"Organization and efficiency"
"T_03898",2024-12-17,"Freshdesk",4,1,4,3,5,4,"Was able to implement a cost-effective help desk solution that integrates with our CRM."
"T_04770",2024-12-29,"Freshdesk",,,,,,,
"T_00051",2024-10-02,"Freshdesk",,,,,,,
"T_04650",2024-12-27,"Zendesk",,,,,,,
"T_04029",2024-12-19,"Zoho Desk",4,3,4,4,4,6,"Pros:zoho desk as gota lots offeatures,and you canfullypersonnalisecustomerportaland admin portal"
"T_02359",2024-11-25,"Zoho Desk",,,,,,,
"T_03173",2024-12-08,"Zoho Desk",5,4,5,4,5,10,"Makes customer management extremely easy once you get going."
"T_03424",2024-12-11,"Zoho Desk",,,,,,,
"T_01113",2024-10-29,"Freshdesk",,,,,,,
"T_03744",2024-12-15,"Zoho Desk",,,,,,,
"T_04506",2024-12-25,"ServiceNow",3,1,2,3,2,2,"Pros:The pros are definetly the possibility to create personalized filters and manage tickets from various countries and clients."
"T_04127",2024-12-20,"Zendesk",4,2,4,4,4,6,"All in All, I liked the software, it can be said that one of the best ITSM solutions regarding the request fulfillment and incident management process can be awarded to this product."
"T_00115",2024-10-03,"Zendesk",4,2,4,3,5,9,"Muy buena, siempre que puedo lo recomiendo."
"T_01244",2024-11-02,"Zendesk",5,4,4,5,5,8,"Pros:We use Zendesk as a ticketing system for our members to be able to contact us when they have an issue with our platform. We find that for this purpose it works really well. We are able to link our phone system to it as well making it easy to call monitor and deal with complaints."
"T_02509",2024-11-28,"Zoho Desk",,,,,,,
"T_03534",2024-12-12,"Freshdesk",4,2,4,5,4,8,"Pros:Definitely the amount of control that the admins have over customizing admin areas (e.g. automations, ticket workflow, permissions etc). Freshdesk customer service has been consistently quick and efficient in responding to my queries."
"T_04038",2024-12-19,"Freshdesk",4,4,3,5,5,6,"My experience can be found in my answers above.In general it is a great tool for my daily job as support"
"T_01233",2024-11-02,"Freshdesk",5,3,5,5,5,9,"The software solves a real business need. It's a shame Freshdesk does not integrate very well with Freshsales."
"T_04475",2024-12-25,"Freshdesk",,,,,,,
"T_03526",2024-12-12,"Freshdesk",5,3,4,5,4,6,"Freshdesk has been a comprehensive and intuitive help desk solution for our organization. We have been impressed with its automation and reporting capabilities, as well as its user-friendly interface. Although there were some limitations, we have been very satisfied with our experience with Freshdesk and would highly recommend it to any organization looking for a powerful and affordable help desk solution."
"T_03266",2024-12-09,"Zoho Desk",,,,,,,
"T_02627",2024-11-30,"Freshdesk",,,,,,,
"T_02766",2024-12-02,"Zendesk",4,2,4,4,4,7,"Pros:This program has made it very easy for our agents to write, respond to, and handle tickets in our system. The user interface is fresh and easy to use for all of the people we have working with it. There is a lot of different things this program is able to do that it's competitors can not which is why we chose it. Shop around, but you'll come back to this one."
"T_03034",2024-12-06,"Zoho Desk",,,,,,,
"T_04088",2024-12-20,"Zoho Desk",,,,,,,
"T_03268",2024-12-09,"Zoho Desk",3,3,3,4,3,5,"good and once you get used to it then it is easy to use"
"T_00091",2024-10-03,"Zoho Desk",5,5,5,5,5,10,"Pros:Integration with other aspects of Zoho to provide a full turn key solution where all tools are in one same place."
"T_01426",2024-11-06,"Zendesk",5,1,5,3,4,3,"Overall my experience with Zendesk and their application was wonderful. In fact it started getting better and kept getting better from the beginning when I first purchased it years ago but the price has just gone up too much. The services haven't gotten any better and I just feel like the price needs to, if anything, go down. Especially with all these new similar applications coming out."
"T_01105",2024-10-29,"Zoho Desk",4,3,4,5,5,9,"Simplified and indepth solution for team handling, performance monitoring, business management, account management, training, website management rather I would say its an universal business tool for business - customer service and service management"
"T_03976",2024-12-18,"Zendesk",4,4,5,3,4,7,"Overall experience with zendesk is good but there is lot of improvement areas which can benefit to reduce complexity of use."
"T_02516",2024-11-28,"Freshdesk",5,3,4,5,5,7,"Whilst Freshdesk does have some issues that can cause complications, these are a very small price to pay for the level of detail you can record in reporting. The change this program has made to our customer service team has been astounding and we have plans to futher these as well. Would highly recommend this product to any business."
"T_02311",2024-11-23,"otrs",5,5,5,5,5,9,"Pros:OTRS offers different features that helps me go thoroughly and smoothly in my transactions with a minimum effort and maximum productivity.It is easy to navigate which is very helpful to me as a beginner. It organizes internal and external communication through clear structures. It literally solves my problem."
"T_01930",2024-11-16,"Zoho Desk",,,,,,,
"T_01074",2024-10-28,"Freshdesk",,,,,,,
"T_03922",2024-12-17,"Zendesk",,,,,,,
"T_03549",2024-12-12,"Zendesk",,,,,,,
"T_00632",2024-10-17,"Freshdesk",5,5,4,4,5,9,"Freshdeks is helping us keep our customers happy by providing a platform to address their concerns and issues and resolve them. It is making our business grow."
"T_03717",2024-12-14,"ServiceNow",,,,,,,
"T_01829",2024-11-14,"Freshdesk",,,,,,,
"T_03366",2024-12-10,"Freshdesk",,,,,,,
"T_02415",2024-11-26,"Zoho Desk",4,4,3,4,3,6,"good, i recommend it"
"T_02126",2024-11-19,"Zendesk",5,4,5,5,5,8,"nice"
"T_00982",2024-10-26,"Zoho Desk",,,,,,,
"T_04531",2024-12-26,"Zoho Desk",5,4,5,5,5,6,"We used Zoho Desk to get complete our projects. We had multiple projects and needed a place to manage every assignment."
"T_04675",2024-12-28,"Zoho Desk",,,,,,,
"T_03241",2024-12-08,"ServiceNow",5,3,5,5,5,10,"Overall it was a good learning platform and also came to know various things that are present and which are available to use so can say had a good experience with the tool"
"T_04637",2024-12-27,"Zendesk",5,3,5,5,5,9,"It is helping us communicate to clients and resolve their issues on time and hence keeping us more productive in customer service delivery."
"T_02280",2024-11-23,"Freshdesk",4,3,4,4,4,8,"Freshdesk is used by support teams within organizations. It was implemented to replace the use of group mailboxes as the support team grew. The centralized management of support email quickly proved its value. Since then, we have also implemented a solution tool (knowledge base) as a central guidance repository for our user base to supplement the training resources we provide. Freshdesk is perfect for any support team using email or social media to help users. It's flexible enough to become a central element of your online presence once you find your way into the admin section and set up a look and feel that fits your company's style. The most important question when choosing help desk software is obviously how you want to support your customers and finding software that does exactly that."
"T_02907",2024-12-04,"Freshdesk",5,4,5,5,5,8,"It is so much more streamlined than our old software SDP and I use this product nonstop for all of our customer supportneeds and will be adding the phone feature very soon."
"T_00331",2024-10-09,"Zoho Desk",,,,,,,
"T_00532",2024-10-14,"Freshdesk",,,,,,,
"T_03803",2024-12-15,"Jira Service Management",,,,,,,
"T_00493",2024-10-13,"Zoho Desk",5,4,4,4,5,8,"Total surprise, did not expect the quality level presented. very good"
"T_04681",2024-12-28,"Zoho Desk",5,3,5,5,4,8,"Great for huge project management, you can connect with Zoho Analytics and get amazing reports. So you can know the generals and the specifics in detail too!"
"T_03758",2024-12-15,"Freshdesk",,,,,,,
"T_03461",2024-12-11,"Zendesk",,,,,,,
