emp_id,gender,age,marital_status,job_level,experience,dept,emp_type,wlb,work_env,physical_activity_hours,workload,stress,sleep_hours,commute_mode,commute_distance,num_companies,team_size,num_reports,edu_level,have_ot,training_hours_per_year,job_satisfaction,emp_satisfaction
6,Male,32,Married,Mid,7,IT,Full-Time,1,1,2.5,2,1,7.6,Car,20,3,12,0,Bachelor,True,33.5,5,Tinggi
11,Female,34,Married,Mid,12,Finance,Full-Time,1,1,1.8,2,2,7.9,Car,15,4,11,0,Bachelor,False,36.0,5,Tinggi
20,Female,29,Married,Junior,6,IT,Contract,2,2,1.9,3,1,7.5,Public Transport,13,2,9,0,Bachelor,True,23.0,5,Tinggi
45,Female,33,Married,Mid,10,Operations,Part-Time,2,3,1.4,4,2,6.2,Car,8,3,13,0,Bachelor,False,35.0,5,Tinggi
21,Female,26,Single,Junior,4,Sales,Full-Time,2,2,1.8,1,1,5.8,Car,29,1,8,0,Bachelor,True,22.0,5,Tinggi
44,Male,24,Single,Junior,2,IT,Full-Time,1,3,1.8,4,2,5.7,Car,29,0,10,0,Bachelor,True,21.0,5,Tinggi
7,Female,29,Married,Junior,7,Marketing,Full-Time,4,3,1.6,1,1,8.2,Car,13,2,8,0,Bachelor,False,23.5,5,Tinggi
15,Female,24,Single,Mid,2,Marketing,Part-Time,5,5,0.5,4,2,8.5,Bike,9,0,10,0,Bachelor,False,31.0,5,Tinggi
18,Male,40,Single,Mid,14,Customer Service,Full-Time,5,5,0.8,2,1,6.3,Car,8,6,11,0,Bachelor,False,37.0,5,Tinggi
32,Male,30,Single,Senior,8,Legal,Full-Time,5,5,2.5,2,1,6.3,Public Transport,19,2,18,2,Bachelor,False,44.0,5,Tinggi
59,Female,29,Single,Junior,7,Legal,Full-Time,5,3,2.1,1,1,6.2,Public Transport,20,2,7,0,Bachelor,False,23.5,5,Tinggi
108,Female,35,Married,Senior,12,Finance,Full-Time,5,3,2.0,1,1,6.8,Public Transport,11,4,21,2,Bachelor,False,46.0,5,Tinggi
147,Female,29,Single,Mid,7,Finance,Part-Time,4,5,2.7,2,2,8.1,Public Transport,25,2,14,0,Bachelor,False,33.5,5,Tinggi
151,Male,28,Married,Senior,6,Sales,Full-Time,4,5,1.8,1,3,8.3,Bike,3,2,16,7,Bachelor,False,43.0,5,Tinggi
173,Female,26,Single,Mid,4,Sales,Part-Time,5,5,2.3,2,3,7.8,Walk,2,1,15,0,Bachelor,False,32.0,5,Tinggi
185,Male,30,Married,Mid,8,Finance,Part-Time,5,4,2.2,1,1,5.9,Walk,2,2,12,0,Bachelor,False,34.0,5,Tinggi
218,Female,45,Single,Mid,9,Operations,Full-Time,5,5,2.1,2,1,6.8,Car,8,7,12,0,Bachelor,False,34.5,5,Tinggi
323,Male,28,Single,Junior,6,Operations,Full-Time,5,5,2.2,1,1,8.0,Bike,4,2,7,0,Bachelor,False,23.0,5,Tinggi
338,Male,27,Single,Junior,2,Operations,Full-Time,4,4,2.3,1,1,7.8,Public Transport,20,1,7,0,Bachelor,False,21.0,5,Tinggi
387,Male,30,Married,Mid,8,Operations,Full-Time,4,5,0.2,1,1,6.3,Car,11,2,12,0,Bachelor,False,34.0,5,Tinggi
398,Female,24,Single,Junior,1,Finance,Full-Time,5,5,0.0,4,1,8.9,Walk,2,0,9,0,Bachelor,False,20.5,5,Tinggi
406,Male,31,Married,Mid,9,IT,Full-Time,5,4,2.5,1,1,6.2,Public Transport,16,3,13,0,Bachelor,False,34.5,5,Tinggi
427,Female,45,Married,Mid,23,Legal,Full-Time,5,5,1.2,4,1,7.2,Car,29,7,13,0,Bachelor,False,41.5,5,Tinggi
474,Female,49,Divorced,Mid,18,Finance,Full-Time,5,5,2.3,2,2,6.5,Bike,7,9,13,0,Bachelor,False,39.0,5,Tinggi
548,Female,31,Single,Senior,9,Marketing,Part-Time,5,3,0.4,1,1,6.8,Public Transport,17,3,24,6,Bachelor,False,44.5,5,Tinggi
551,Female,27,Married,Junior,5,Legal,Part-Time,5,4,2.0,4,1,8.7,Walk,2,1,10,0,Bachelor,False,22.5,5,Tinggi
568,Female,24,Married,Junior,2,Finance,Full-Time,5,2,3.2,2,1,9.0,Car,24,0,8,0,Bachelor,False,21.0,5,Tinggi
603,Male,56,Married,Senior,14,Finance,Full-Time,5,4,2.1,1,1,5.4,Car,10,11,18,1,Bachelor,False,47.0,5,Tinggi
638,Female,48,Divorced,Senior,26,Marketing,Part-Time,4,5,2.1,2,2,7.2,Car,27,8,24,7,Bachelor,False,53.0,5,Tinggi
659,Male,22,Single,Intern/Fresher,0,Operations,Full-Time,5,3,1.5,2,1,7.8,Walk,1,0,26,0,Bachelor,False,10.0,5,Tinggi
739,Male,35,Married,Senior,4,IT,Full-Time,5,4,2.7,1,1,7.9,Car,21,4,24,1,Bachelor,True,42.0,5,Tinggi
810,Male,22,Single,Intern/Fresher,0,Legal,Part-Time,5,4,2.1,2,2,9.5,Bike,7,0,23,0,Bachelor,False,10.0,5,Tinggi
905,Male,25,Single,Junior,3,Finance,Full-Time,5,5,0.9,3,1,7.4,Walk,1,1,8,0,Bachelor,False,21.5,5,Tinggi
